337,118,4,4.5,4.5,9.65,1,1
324,107,4,4,4.5,8.869999999999999,1,1
316,104,3,3,3.5,8,1,1
322,110,3,3.5,2.5,8.67,1,1
314,103,2,2,3,8.210000000000001,0,1
330,115,5,4.5,3,9.34,1,1
321,109,3,3,4,8.199999999999999,1,1
308,101,2,3,4,7.9,0,1
302,102,1,2,1.5,8,0,1
323,108,3,3.5,3,8.6,0,0
325,106,3,3.5,4,8.4,1,1
327,111,4,4,4.5,9,1,1
328,112,4,4,4.5,9.1,1,1
307,109,3,4,3,8,1,1
311,104,3,3.5,2,8.199999999999999,1,1
314,105,3,3.5,2.5,8.300000000000001,0,1
317,107,3,4,3,8.699999999999999,0,1
319,106,3,4,3,8,1,1
318,110,3,4,3,8.800000000000001,0,1
303,102,3,3.5,3,8.5,0,1
312,107,3,3,2,7.9,1,1
325,114,4,3,2,8.4,0,1
328,116,5,5,5,9.5,1,1
334,119,5,5,4.5,9.699999999999999,1,1
336,119,5,4,3.5,9.800000000000001,1,1
340,120,5,4.5,4.5,9.6,1,1
322,109,5,4.5,3.5,8.800000000000001,0,1
298,98,2,1.5,2.5,7.5,1,0
295,93,1,2,2,7.2,0,0
310,99,2,1.5,2,7.3,0,1
300,97,2,3,3,8.1,1,1
327,103,3,4,4,8.300000000000001,1,1
338,118,4,3,4.5,9.4,1,1
340,114,5,4,4,9.6,1,1
331,112,5,4,5,9.800000000000001,1,1
320,110,5,5,5,9.199999999999999,1,1
299,106,2,4,4,8.4,0,1
300,105,1,1,2,7.8,0,1
304,105,1,3,1.5,7.5,0,1
307,108,2,4,3.5,7.7,0,0
308,110,3,3.5,3,8,1,0
316,105,2,2.5,2.5,8.199999999999999,1,0
313,107,2,2.5,2,8.5,1,1
332,117,4,4.5,4,9.1,0,1
326,113,5,4.5,4,9.4,1,1
322,110,5,5,4,9.1,1,1
329,114,5,4,5,9.300000000000001,1,1
339,119,5,4.5,4,9.699999999999999,0,1
321,110,3,3.5,5,8.85,1,1
327,111,4,3,4,8.4,1,1
313,98,3,2.5,4.5,8.300000000000001,1,1
312,100,2,1.5,3.5,7.9,1,1
334,116,4,4,3,8,1,1
324,112,4,4,2.5,8.1,1,1
322,110,3,3,3.5,8,0,1
320,103,3,3,3,7.7,0,1
316,102,3,2,3,7.4,0,1
298,99,2,4,2,7.6,0,0
300,99,1,3,2,6.8,1,0
311,104,2,2,2,8.300000000000001,0,0
309,100,2,3,3,8.1,0,0
307,101,3,4,3,8.199999999999999,0,0
304,105,2,3,3,8.199999999999999,1,1
315,107,2,4,3,8.5,1,1
325,111,3,3,3.5,8.699999999999999,0,1
325,112,4,3.5,3.5,8.92,0,1
327,114,3,3,3,9.02,0,1
316,107,2,3.5,3.5,8.640000000000001,1,1
318,109,3,3.5,4,9.220000000000001,1,1
328,115,4,4.5,4,9.16,1,1
332,118,5,5,5,9.640000000000001,1,1
336,112,5,5,5,9.76,1,1
321,111,5,5,5,9.449999999999999,1,1
314,108,4,4.5,4,9.039999999999999,1,1
314,106,3,3,5,8.9,0,1
329,114,2,2,4,8.56,1,1
327,112,3,3,3,8.720000000000001,1,1
301,99,2,3,2,8.220000000000001,0,1
296,95,2,3,2,7.54,1,0
294,93,1,1.5,2,7.36,0,0
312,105,3,2,3,8.02,1,1
340,120,4,5,5,9.5,1,1
320,110,5,5,4.5,9.220000000000001,1,1
322,115,5,4,4.5,9.359999999999999,1,1
340,115,5,4.5,4.5,9.449999999999999,1,1
319,103,4,4.5,3.5,8.66,0,1
315,106,3,4.5,3.5,8.42,0,1
317,107,2,3.5,3,8.279999999999999,0,1
314,108,3,4.5,3.5,8.140000000000001,0,1
316,109,4,4.5,3.5,8.76,1,1
318,106,2,4,4,7.92,1,1
299,97,3,5,3.5,7.66,0,0
298,98,2,4,3,8.029999999999999,0,0
301,97,2,3,3,7.88,1,0
303,99,3,2,2.5,7.66,0,0
304,100,4,1.5,2.5,7.84,0,0
306,100,2,3,3,8,0,0
331,120,3,4,4,8.960000000000001,1,1
332,119,4,5,4.5,9.24,1,1
323,113,3,4,4,8.880000000000001,1,1
322,107,3,3.5,3.5,8.460000000000001,1,1
312,105,2,2.5,3,8.119999999999999,0,1
314,106,2,4,3.5,8.25,0,1
317,104,2,4.5,4,8.470000000000001,0,1
326,112,3,3.5,3,9.050000000000001,1,1
316,110,3,4,4.5,8.779999999999999,1,1
329,111,4,4.5,4.5,9.18,1,1
338,117,4,3.5,4.5,9.460000000000001,1,1
331,116,5,5,5,9.380000000000001,1,1
304,103,5,5,4,8.640000000000001,0,1
305,108,5,3,3,8.48,0,1
321,109,4,4,4,8.68,1,1
301,107,3,3.5,3.5,8.34,1,1
320,110,2,4,3.5,8.56,0,1
311,105,3,3.5,3,8.449999999999999,1,1
310,106,4,4.5,4.5,9.039999999999999,1,1
299,102,3,4,3.5,8.619999999999999,0,1
290,104,4,2,2.5,7.46,0,0
296,99,2,3,3.5,7.28,0,0
327,104,5,3,3.5,8.84,1,1
335,117,5,5,5,9.56,1,1
334,119,5,4.5,4.5,9.48,1,1
310,106,4,1.5,2.5,8.359999999999999,0,1
308,108,3,3.5,3.5,8.220000000000001,0,1
301,106,4,2.5,3,8.470000000000001,0,1
300,100,3,2,3,8.66,1,1
323,113,3,4,3,9.32,1,1
319,112,3,2.5,2,8.710000000000001,1,1
326,112,3,3.5,3,9.1,1,1
333,118,5,5,5,9.35,1,1
339,114,5,4,4.5,9.76,1,1
303,105,5,5,4.5,8.65,0,1
309,105,5,3.5,3.5,8.56,0,1
323,112,5,4,4.5,8.779999999999999,0,1
333,113,5,4,4,9.279999999999999,1,1
314,109,4,3.5,4,8.77,1,1
312,103,3,5,4,8.449999999999999,0,1
316,100,2,1.5,3,8.16,1,1
326,116,2,4.5,3,9.08,1,1
318,109,1,3.5,3.5,9.119999999999999,0,1
329,110,2,4,3,9.15,1,1
332,118,2,4.5,3.5,9.359999999999999,1,1
331,115,5,4,3.5,9.44,1,1
340,120,4,4.5,4,9.92,1,1
325,112,2,3,3.5,8.960000000000001,1,1
320,113,2,2,2.5,8.640000000000001,1,1
315,105,3,2,2.5,8.48,0,1
326,114,3,3,3,9.109999999999999,1,1
339,116,4,4,3.5,9.800000000000001,1,1
311,106,2,3.5,3,8.26,1,1
334,114,4,4,4,9.43,1,1
332,116,5,5,5,9.279999999999999,1,1
321,112,5,5,5,9.06,1,1
324,105,3,3,4,8.75,0,1
326,108,3,3,3.5,8.890000000000001,0,1
312,109,3,3,3,8.69,0,1
315,105,3,2,2.5,8.34,0,1
309,104,2,2,2.5,8.26,0,1
306,106,2,2,2.5,8.140000000000001,0,1
297,100,1,1.5,2,7.9,0,1
315,103,1,1.5,2,7.86,0,1
298,99,1,1.5,3,7.46,0,1
318,109,3,3,3,8.5,0,1
317,105,3,3.5,3,8.56,0,1
329,111,4,4.5,4,9.01,1,1
322,110,5,4.5,4,8.970000000000001,0,1
302,102,3,3.5,5,8.33,0,1
313,102,3,2,3,8.27,0,1
293,97,2,2,4,7.8,1,1
311,99,2,2.5,3,7.98,0,1
312,101,2,2.5,3.5,8.039999999999999,1,1
334,117,5,4,4.5,9.07,1,1
322,110,4,4,5,9.130000000000001,1,1
323,113,4,4,4.5,9.23,1,1
321,111,4,4,4,8.970000000000001,1,1
320,111,4,4.5,3.5,8.869999999999999,1,1
329,119,4,4.5,4.5,9.16,1,1
319,110,3,3.5,3.5,9.039999999999999,0,1
309,108,3,2.5,3,8.119999999999999,0,1
307,102,3,3,3,8.27,0,1
300,104,3,3.5,3,8.16,0,1
305,107,2,2.5,2.5,8.42,0,1
299,100,2,3,3.5,7.88,0,1
314,110,3,4,4,8.800000000000001,0,1
316,106,2,2.5,4,8.32,0,1
327,113,4,4.5,4.5,9.109999999999999,1,1
317,107,3,3.5,3,8.68,1,1
335,118,5,4.5,3.5,9.44,1,1
331,115,5,4.5,3.5,9.359999999999999,1,1
324,112,5,5,5,9.08,1,1
324,111,5,4.5,4,9.16,1,1
323,110,5,4,5,8.98,1,1
322,114,5,4.5,4,8.94,1,1
336,118,5,4.5,5,9.529999999999999,1,1
316,109,3,3.5,3,8.76,0,1
307,107,2,3,3.5,8.52,1,1
306,105,2,3,2.5,8.26,0,1
310,106,2,3.5,2.5,8.33,0,1
311,104,3,4.5,4.5,8.43,0,1
313,107,3,4,4.5,8.69,0,1
317,103,3,2.5,3,8.539999999999999,1,1
315,110,2,3.5,3,8.460000000000001,1,1
340,120,5,4.5,4.5,9.91,1,1
334,120,5,4,5,9.869999999999999,1,1
298,105,3,3.5,4,8.539999999999999,0,1
